# CodiNeo Thesis — Learner Progress Results Worksheet
# Generated by simulateLearners.ts (seed=42, K=2, date=2026-06-25)
# REVISED: realistic score spread, K=2 balance, max practical tries = 2

## Cohort summary
metric,value
testers,10
required_modules_formal,13
required_modules_total,14
non_required_modules,26
assignment_K,2
cohort_pre_pct,76.2
cohort_post_pct,87.6
cohort_gain_pp,11.4
all_post_gt_pre,YES (all 10)
max_practical_tries,2
thursday_date,2026-06-25

## Per-tester pre/post/gain
tester,profile,pre_pct,post_pct,gain_pp,formal_modules,all_modules,avg_practical_tries,max_practical_tries,pre_bloom_level,post_bloom_level,bloom_leveled_up
devcon1,one-take-ace,88.7,100.0,11.3,19,20,1.0,1,analyze,evaluate,YES
devcon2,high-achiever,84.6,100.0,15.4,18,19,1.3,2,apply,evaluate,YES
devcon3,mcq-strong,83.9,89.6,5.6,19,20,1.3,2,apply,analyze,YES
devcon4,steady-improver,77.6,89.6,12.0,19,20,1.1,2,understand,analyze,YES
devcon5,slow-starter,43.8,66.1,22.4,18,19,1.7,2,remember,understand,YES
devcon6,near-one-take,89.5,100.0,10.5,18,19,1.0,1,analyze,evaluate,YES
devcon7,solid-learner,84.6,90.3,5.7,18,19,1.3,2,apply,analyze,YES
devcon8,avg-improver,78.3,90.3,12.1,18,19,1.2,2,understand,analyze,YES
devcon9,late-bloomer,50.0,79.0,29.0,18,19,1.6,2,remember,apply,YES
devcon10,modest-gainer,39.3,68.4,29.1,17,18,1.6,2,remember,understand,YES

## Per-profile archetype breakdown
profile,testers,pre_target_pct,post_target_pct,pre_staircase_level,post_staircase_level,max_tries,tries_mode,expected_bloom_shift
one-take-ace,devcon1,80,97,4,6,1,1,analyze->evaluate
high-achiever,devcon2,65,92,3,6,2,1,apply->evaluate
mcq-strong,devcon3,60,88,3,4,2,1,apply->analyze
steady-improver,devcon4,45,80,2,4,2,1,understand->analyze
slow-starter,devcon5,32,68,0,2,2,2,none->understand
near-one-take,devcon6,78,96,4,6,1,1,analyze->evaluate
solid-learner,devcon7,55,85,3,4,2,1,apply->analyze
avg-improver,devcon8,50,78,2,4,2,1,understand->analyze
late-bloomer,devcon9,38,75,1,3,2,2,remember->apply
modest-gainer,devcon10,35,70,0,2,2,2,none->understand

## Non-required module assignment balance (K=2 testers each)
module_id,category,tester_count,balance_ok,testers
creational-builder,creational,2,YES,devcon2+devcon5
creational-singleton,creational,2,YES,devcon2+devcon3
creational-factory-method,creational,2,YES,devcon8+devcon7
creational-method-chaining,creational,2,YES,devcon7+devcon9
creational-prototype,creational,2,YES,devcon10+devcon9
creational-abstract-factory,creational,2,YES,devcon10+devcon3
structural-adapter,structural,2,YES,devcon3+devcon7
structural-proxy,structural,2,YES,devcon3+devcon4
structural-decorator,structural,2,YES,devcon4+devcon1
structural-composite,structural,2,YES,devcon6+devcon8
structural-repository,structural,2,YES,devcon6+devcon4
structural-bridge,structural,2,YES,devcon1+devcon3
structural-facade,structural,2,YES,devcon4+devcon8
structural-flyweight,structural,2,YES,devcon7+devcon3
behavioural-strategy,behavioural,2,YES,devcon1+devcon6
behavioural-observer,behavioural,2,YES,devcon8+devcon4
behavioural-iterator,behavioural,2,YES,devcon10+devcon1
behavioural-command,behavioural,2,YES,devcon6+devcon9
behavioural-template-method,behavioural,2,YES,devcon9+devcon2
behavioural-state,behavioural,2,YES,devcon1+devcon5
behavioural-chain-of-responsibility,behavioural,2,YES,devcon1+devcon5
behavioural-mediator,behavioural,2,YES,devcon10+devcon2
behavioural-visitor,behavioural,2,YES,devcon4+devcon5
behavioural-interpreter,behavioural,2,YES,devcon2+devcon7
behavioural-memento,behavioural,2,YES,devcon8+devcon9
idioms-pimpl,idioms,2,YES,devcon5+devcon6

## Bloom-level progression (pre→post)
tester,pre_bloom_max,post_bloom_max,leveled_up,note
devcon1,analyze,evaluate,YES,analyze->evaluate
devcon2,apply,evaluate,YES,apply->evaluate
devcon3,apply,analyze,YES,apply->analyze
devcon4,understand,analyze,YES,understand->analyze
devcon5,remember,understand,YES,none->understand
devcon6,analyze,evaluate,YES,analyze->evaluate
devcon7,apply,analyze,YES,apply->analyze
devcon8,understand,analyze,YES,understand->analyze
devcon9,remember,apply,YES,remember->apply
devcon10,remember,understand,YES,none->understand

## Practical exam attempts summary
tester,total_exam_attempt_rows,modules_with_2_tries,modules_with_1_try
devcon1,19,0,19
devcon2,23,5,13
devcon3,25,6,13
devcon4,21,2,17
devcon5,30,12,6
devcon6,18,0,18
devcon7,23,5,13
devcon8,22,4,14
devcon9,29,11,7
devcon10,27,10,7
