N,rep,wall_ms,peak_kb,exit
267,0,102,3464,0
267,1,65,3896,0
267,2,93,3600,0
267,3,71,3624,0
267,4,110,3556,0
267,5,149,3880,0
267,6,183,3544,0
267,7,93,3624,0
267,8,117,2016,0
267,9,180,3620,0
533,0,133,3844,0
533,1,76,3768,0
533,2,59,3784,0
533,3,74,3740,0
533,4,82,3932,0
533,5,3586,3912,0
533,6,62,2016,0
533,7,63,3932,0
533,8,105,3760,0
533,9,88,2016,0
799,0,92,3244,0
799,1,81,3840,0
799,2,72,2008,0
799,3,77,3684,0
799,4,74,3968,0
799,5,68,4056,0
799,6,69,3900,0
799,7,64,3916,0
799,8,57,4072,0
799,9,67,4036,0
1065,0,92,4472,0
1065,1,72,4184,0
1065,2,86,4356,0
1065,3,92,4444,0
1065,4,84,4440,0
1065,5,73,2012,0
1065,6,77,4444,0
1065,7,71,4412,0
1065,8,68,4188,0
1065,9,73,2768,0
1464,0,128,4632,0
1464,1,87,4976,0
1464,2,82,4536,0
1464,3,91,4632,0
1464,4,76,4508,0
1464,5,77,4544,0
1464,6,80,4632,0
1464,7,90,4552,0
1464,8,83,3560,0
1464,9,87,4936,0
1863,0,134,5132,0
1863,1,91,5100,0
1863,2,83,4768,0
1863,3,89,4780,0
1863,4,81,5100,0
1863,5,77,4380,0
1863,6,92,5100,0
1863,7,87,4884,0
1863,8,77,4608,0
1863,9,94,5072,0
2262,0,97,5200,0
2262,1,78,3392,0
2262,2,102,5148,0
2262,3,106,5224,0
2262,4,92,5216,0
2262,5,100,5156,0
2262,6,103,5460,0
2262,7,109,5200,0
2262,8,122,5160,0
2262,9,95,5224,0
2794,0,148,5568,0
2794,1,131,5752,0
2794,2,111,5800,0
2794,3,106,5568,0
2794,4,96,5788,0
2794,5,87,5560,0
2794,6,90,5604,0
2794,7,95,5568,0
2794,8,130,5228,0
2794,9,116,5804,0
3326,0,193,6848,0
3326,1,131,6084,0
3326,2,93,5944,0
3326,3,122,5888,0
3326,4,126,5936,0
3326,5,150,6084,0
3326,6,183,5944,0
3326,7,106,6828,0
3326,8,162,6936,0
3326,9,101,5848,0
3858,0,141,6992,0
3858,1,131,6444,0
3858,2,127,6468,0
3858,3,133,6452,0
3858,4,137,6436,0
3858,5,117,6196,0
3858,6,142,6452,0
3858,7,120,6452,0
3858,8,114,6460,0
3858,9,113,6196,0
4656,0,189,7172,0
4656,1,143,7164,0
4656,2,190,7196,0
4656,3,215,7220,0
4656,4,147,7184,0
4656,5,157,7344,0
4656,6,175,7220,0
4656,7,151,7368,0
4656,8,159,7172,0
4656,9,156,7216,0
5454,0,561,7784,0
5454,1,196,7792,0
5454,2,181,7960,0
5454,3,230,8304,0
5454,4,189,7616,0
5454,5,202,8292,0
5454,6,161,8096,0
5454,7,330,7732,0
5454,8,684,8296,0
5454,9,159,7656,0
6252,0,206,9156,0
6252,1,178,8232,0
6252,2,198,9156,0
6252,3,229,9120,0
6252,4,209,9104,0
6252,5,161,9152,0
6252,6,161,9124,0
6252,7,172,8212,0
6252,8,172,8236,0
6252,9,160,9096,0
7316,0,224,9632,0
7316,1,229,9048,0
7316,2,232,9660,0
7316,3,223,9644,0
7316,4,188,8956,0
7316,5,206,9652,0
7316,6,330,9644,0
7316,7,219,9636,0
7316,8,232,9640,0
7316,9,355,9636,0
8380,0,271,10516,0
8380,1,422,9908,0
8380,2,261,10528,0
8380,3,250,9908,0
8380,4,246,9884,0
8380,5,254,9880,0
8380,6,290,9896,0
8380,7,233,9848,0
8380,8,215,10668,0
8380,9,306,10516,0
9577,0,362,10644,0
9577,1,499,10644,0
9577,2,287,10700,0
9577,3,371,10636,0
9577,4,450,10628,0
9577,5,509,10644,0
9577,6,416,10608,0
9577,7,1146,10624,0
9577,8,585,10652,0
9577,9,339,10664,0
11173,0,445,12200,0
11173,1,423,12212,0
11173,2,795,12208,0
11173,3,405,12196,0
11173,4,404,11792,0
11173,5,613,11880,0
11173,6,392,11852,0
11173,7,831,11816,0
11173,8,690,12208,0
11173,9,502,12200,0
12636,0,520,13000,0
12636,1,630,13008,0
12636,2,562,12944,0
12636,3,625,13072,0
12636,4,1185,12932,0
12636,5,554,13012,0
12636,6,515,12992,0
12636,7,633,13004,0
12636,8,628,13004,0
12636,9,1135,12972,0
14232,0,682,14292,0
14232,1,893,14428,0
14232,2,1798,14316,0
14232,3,1516,14328,0
14232,4,1543,14284,0
14232,5,1471,14328,0
14232,6,1671,14364,0
14232,7,643,14320,0
14232,8,833,14304,0
14232,9,1087,14192,0
15961,0,1300,15352,0
15961,1,2320,15612,0
15961,2,765,15432,0
15961,3,901,15932,0
15961,4,859,15616,0
15961,5,1011,15324,0
15961,6,733,15396,0
15961,7,621,15372,0
15961,8,846,15552,0
15961,9,650,15388,0
17956,0,926,16908,0
17956,1,798,16924,0
17956,2,746,16908,0
17956,3,757,16936,0
17956,4,1004,16864,0
17956,5,841,16932,0
17956,6,735,16960,0
17956,7,953,16900,0
17956,8,726,16928,0
17956,9,696,16908,0
20217,0,1175,18644,0
20217,1,953,18624,0
20217,2,916,18540,0
20217,3,913,18644,0
20217,4,990,18628,0
20217,5,967,18632,0
20217,6,987,18616,0
20217,7,906,18664,0
20217,8,869,18632,0
20217,9,1686,18604,0
22744,0,1433,20408,0
22744,1,1467,20400,0
22744,2,1822,20404,0
22744,3,1390,20364,0
22744,4,1237,20340,0
22744,5,1347,20396,0
22744,6,1247,20360,0
22744,7,1984,20428,0
22744,8,2118,20452,0
22744,9,1247,20476,0
25271,0,1732,22268,0
25271,1,2368,22284,0
25271,2,2451,22364,0
25271,3,1592,22320,0
25271,4,2678,22376,0
25271,5,3205,22316,0
25271,6,3187,22432,0
25271,7,1946,22380,0
25271,8,3212,22364,0
25271,9,2592,22364,0
